user_id,name,review_count,average_stars
1,Gabi,1,2.0
2,Christine,1,4.0
3,Natasha,26,3.62
4,Clara,1,3.0
5,J,15,3.47
6,Ethan,17,3.47
7,Sameer,2,4.0
8,Stephanie,4,3.75
9,Sean,1,4.0
10,Daisy,78,3.55
11,David,15,3.53
12,David,1,1.0
13,David,6,3.33
14,Nish,2,4.0
15,Rahul,1,5.0
16,Meggen,2,3.5
17,Alessandra,17,4.06
18,Nathan,3,4.0
19,Craig,19,3.95
20,Timmy,12,4.08
21,Lynn,2,4.0
22,Amanda,27,3.41
23,Suzanne,2,3.5
24,A.J.,1,5.0
25,Tres,5,2.2
26,Ryan,15,4.07
27,Michael,2,4.0
28,F,4,2.5
29,Jonathan,1,5.0
30,Jamie,1,5.0
31,Nadia,1,5.0
32,Holly,18,3.44
33,Ela,5,4.2
34,Skeeter,12,4.25
35,Debra,1,2.0
36,Wanugee,9,3.11
37,Phil,81,3.44
38,Steve,2,5.0
39,Lisa,2,4.5
40,Christine,7,3.57
41,Dina,37,3.51
42,Erin,1,1.0
43,Christina,1,3.0
44,Cat,1,4.0
45,Leon,2,3.0
46,Sasitorn,1,5.0
47,Henry,5,3.6
48,Tiffany,14,4.0
49,Andy,5,3.8
50,Rohan,1,4.0
51,Jeff,1,5.0
52,Lizz,2,4.5
53,Mary,9,3.89
54,Tina,21,3.52
55,Rob,528,3.59
56,Broderick,2,4.0
57,Nobbi,65,4.28
58,Rachel,5,3.8
59,Danan,8,3.38
60,Garen,1,5.0
61,Paul,1,4.0
62,Paddy,1,5.0
63,Olin,3,3.33
64,Tom,7,3.43
65,Samantha,12,3.58
66,Wendy,24,4.17
67,Eduard,1,5.0
68,Iska,1,4.0
69,Tara,1,5.0
70,Albert,1,5.0
71,Phuong,21,3.81
72,Bruce,2,3.0
73,Leigh,1,2.0
74,Sarah,123,4.0
75,Leigh,1,4.0
76,Steve,9,3.67
77,Rod,1,4.0
78,Rachel,7,3.57
79,John L.,29,3.48
80,Jessica,2,3.5
81,Chris,13,3.62
82,Eli,2,4.5
83,Jeff,7,3.71
84,Bill,5,3.0
85,Gary,16,3.19
86,Laura,1,4.0
87,Alexandra,1,3.0
88,Tom,1,4.0
89,Megan,88,3.48
90,Jenny,1,2.0
91,Mensa,2,4.0
92,Ellie,1,4.0
93,Patrick,26,3.77
94,Dave,5,3.8
95,Judy,134,3.31
96,Akiko,2,4.5
97,Stacy,36,3.56
98,Andrea,10,4.0
99,Yelper,1,4.0
100,Tish,3,2.67
101,Lee,1,2.0
102,Stefan,2,3.0
103,Frank,1,5.0
104,Alex,12,4.17
105,Kevin,3,4.33
106,Todd,2,3.5
107,neil,1,5.0
108,Kent,35,2.86
109,Wendy,61,3.75
110,E.,2,4.5
111,Vanessa,1,5.0
112,Susan,3,2.67
113,Jason,1,4.0
114,Eileen,6,2.83
115,Britt,11,3.55
116,Joseph,2,5.0
117,Justin,3,3.33
118,George,1,5.0
119,Randy,7,2.43
120,Dana,6,3.67
121,Kim,1,2.0
122,Lisa,37,3.54
123,Ty,4,3.5
124,Johnna,6,3.33
125,Dale,80,3.9
126,Susana,1,5.0
127,Sarina,1,5.0
128,Annie,4,3.25
129,Angie,10,4.5
130,Kevin,61,3.13
131,laura,39,3.79
132,Jane,1,5.0
133,Keven,13,3.62
134,Adam,18,4.17
135,Stephen,12,4.0
136,Jessica,2,3.0
137,Danna,3,3.67
138,Shelley,1,4.0
139,Keith,1,1.0
140,LuckieMaounds,8,2.75
141,Roberta,21,3.43
142,Jason,1,3.0
143,Shawn,2,5.0
144,Judy,1,3.0
145,Leah,2,4.0
146,Eric,4,4.0
147,Chris,2,3.5
148,Ricky,190,4.28
149,Mike,9,3.56
150,Jai,2,3.5
151,Emily,15,4.27
152,Julie,6,3.67
153,Bunny,178,3.9
154,Shar,22,4.27
155,Crystal,2,5.0
156,Brennan,10,3.7
157,Sam,2,3.5
158,Michael,2,4.0
159,David,1,3.0
160,Javier,4,3.75
161,Jillian,3,3.0
162,Jenna,1,4.0
163,Jamie,1,4.0
164,Shane,19,3.84
165,Tricia,7,2.71
166,Tim,2,4.5
167,Krystyn,3,4.33
168,Kristin,13,3.77
169,Andi,10,4.4
170,Diana,2,4.0
171,Principal,4,4.75
172,Doug,7,3.43
173,D,174,3.36
174,Jennifer,6,3.33
175,Kim,147,4.03
176,Sean,61,3.66
177,Gus,77,3.23
178,L.R.,3,3.67
179,Sheri Fresonke,25,4.16
180,Bill,53,3.96
181,Kris,7,3.71
182,Ali,11,3.55
183,Carrie,13,3.54
184,Elissa,2,4.0
185,Annette,276,3.76
186,Cynthia,1,1.0
187,Kim-Thao,1,4.0
188,Mark,11,2.91
189,Colin,1,1.0
190,J,7,4.43
191,Rob,6,3.0
192,James,7,4.43
193,Michael,1,2.0
194,Ryan,1,4.0
195,Ying,64,3.91
196,Andrenaline,1,5.0
197,Ben,2,3.0
198,Anne,1,5.0
199,Kari,1,5.0
200,Frank,1,2.0
201,Stephanie,5,4.0
202,Tara,1,3.0
203,Tida,17,3.18
204,Tara,1,5.0
205,Vinh,1,3.0
206,Jen,1,1.0
207,Pamela,4,3.75
208,LOIS,18,3.44
209,Dave,6,3.33
210,Shay,2,4.0
211,Rhonda,4,3.0
212,Chris,1,1.0
213,Daniel,2,5.0
214,Thomas,1,3.0
215,Tifa,1,5.0
216,Matthew,34,3.82
217,Sara,23,4.13
218,Lia,1,2.0
219,Steph,7,4.43
220,Mimi,5,4.4
221,Nuthila,1,5.0
222,Miss Bonnie,1,3.0
223,Emilia,1,5.0
224,Sarah,18,4.39
225,Jackie,4,3.5
226,Alison,2,3.0
227,Chris,221,4.11
228,Dina,112,3.87
229,Eldon,1,5.0
230,Krista,14,4.21
231,Lindsay,1,4.0
232,Chuck,3,3.0
233,Christian,1,3.0
234,Doron,71,3.73
235,Jennifer,9,3.11
236,Andrew,2,3.5
237,Brian,12,3.17
238,Barry,1,4.0
239,Christina,73,4.04
240,Whitney,1,5.0
241,Richard,4,3.25
242,Jordan,4,3.5
243,Eric,2,2.0
244,Lee,1,5.0
245,Christopher,3,3.0
246,Wayne,7,2.71
247,John,6,4.0
248,Antonio,2,4.0
249,Leighann,3,4.0
250,Cherie,8,3.75
251,Caroline,3,4.0
252,Cynthia,1,5.0
253,Samantha,1,2.0
254,Jennifer,8,4.25
255,Sara,7,2.57
256,Lily,2,3.5
257,Christopher,16,3.44
258,Bingle,1,2.0
259,Vivian,9,4.56
260,Elisabeth,2,4.5
261,Andrew,1,2.0
262,Robyn,1,5.0
263,Dave,6,3.33
264,Tasha,3,3.33
265,Eric,1,4.0
266,Dave,6,2.67
267,Tai,5,4.0
268,Janet,3,3.67
269,Holly,1,5.0
270,Jean,1,3.0
271,Ashley,35,3.6
272,Becca,3,4.33
273,Jeff,417,3.69
274,Alexis,1,1.0
275,Michael,7,4.29
276,Dave,2,3.5
277,Tony,155,3.28
278,John,7,2.71
279,Heide,42,4.02
280,Bryant,2,4.0
281,Kevin,3,3.33
282,Yann,3,3.33
283,Maria,3,5.0
284,Vishy,2,3.5
285,Andrew,2,3.5
286,Shanna,1,5.0
287,Karen,4,4.5
288,Erin,1,4.0
289,Rachel,1,4.0
290,Zac,7,4.43
291,Katie,1,2.0
292,Herm,12,4.17
293,Andy,1,4.0
294,Janelle,4,2.75
295,Lisa,1,4.0
296,Michael,19,3.89
297,Jeff,6,3.17
298,David,3,3.33
299,Patty,65,3.66
300,Stacey,1,4.0
301,Thomas,5,2.4
302,Rob,10,4.2
303,Carla,182,3.9
304,Nicole,10,3.2
305,Sheila,1,4.0
306,John,1,5.0
307,Ronald,3,3.67
308,Sam,6,3.33
309,Peter,2,4.0
310,Kevin,7,3.71
311,Gene,1,5.0
312,Janet,1,2.0
313,mirrorpond,1,4.0
314,Kathleen,2,3.5
315,Monica,1,4.0
316,Ron,11,3.82
317,Doris,1,1.0
318,Dawn,1,5.0
319,Emily,1,3.0
320,Paul,222,3.6
321,Jonah,17,3.47
322,Caralisa,5,2.8
323,Edward,2,4.0
324,Libia,1,4.0
325,Anthony,19,4.42
326,Dawn,8,4.0
327,YJ,5,4.4
328,Alicia,8,3.75
329,Rita,8,3.12
330,Vanessa,2,3.5
331,Russ,1,2.0
332,Amy,1,4.0
333,Rachel,2,4.0
334,dean,1,3.0
335,Nick,3,4.0
336,Sfo,1,4.0
337,Jeremy,3,3.33
338,Claire,4,2.5
339,Brian,1,2.0
340,Bill,6,3.17
341,Jennifer,12,3.17
342,Nina,11,3.82
343,Luan,1,3.0
344,Matthew,3,3.67
345,Shawn,1,5.0
346,Hillary,15,4.2
347,Greg,1,5.0
348,Ivette,1,1.0
349,Merrill,3,4.67
350,Shari,1,2.0
351,Henry,1,5.0
352,Ramon,43,3.93
353,Bailey,2,3.5
354,Lindsay,9,3.89
355,Mark,7,4.43
356,JoAnn,6,4.17
357,Michelle,2,4.0
358,Aboud,5,3.0
359,Taryn,1,3.0
360,Jimmy,1,4.0
361,Dana,1,5.0
362,Rachel,1,4.0
363,Paige,8,3.88
364,Ry,30,3.17
365,Sheon,3,4.33
366,John,4,3.75
367,Lyn,2,3.5
368,Christina,2,3.5
369,Michael,1,4.0
370,Alex,1,2.0
371,Vi,6,3.17
372,Stacy,2,3.0
373,Jesse,5,4.0
374,Ashley,7,3.71
375,Dave,5,3.4
376,Ellie,2,5.0
377,Michael D,11,4.09
378,Dan,152,3.98
379,EdwardF,1,5.0
380,Henrik,2,4.0
381,Lucy,1,5.0
382,Christine,1,3.0
383,Carlos,10,4.5
384,Christie,10,3.8
385,Luna,1,3.0
386,Tonya,4,4.75
387,Connie,4,4.75
388,Angela,13,4.31
389,Mary,23,3.61
390,Tim,20,3.55
391,Sharon,8,3.12
392,Hillary,4,3.75
393,Sui,3,3.33
394,shawn,1,3.0
395,George,3,3.0
396,Mike,1,4.0
397,Brittany,4,4.25
398,Han,18,4.28
399,Miriam,14,3.86
400,David,1,5.0
401,D.J.,22,4.09
402,Melanie,1,1.0
403,Melanie,3,2.67
404,Justin,2,5.0
405,Ainsley,4,2.0
406,Liz,1,4.0
407,Anna,3,4.33
408,Jeremy,39,3.85
409,Kristin,10,3.9
410,Gary,14,3.5
411,Karen,2,4.5
412,Kelly,3,3.33
413,Nancy,12,3.67
414,Wendy,1,1.0
415,Shannon,25,4.2
416,Buck,12,4.42
417,Lexy,4,3.75
418,Eric,8,3.75
419,JoseLuis,11,3.64
420,Mike,364,4.32
421,Alina,17,3.82
422,Laura,94,3.6
423,Tracey,60,4.03
424,Puneet,1,5.0
425,Kristi,7,3.86
426,Cedric,5,4.2
427,Mark,3,3.0
428,DJ,43,3.49
429,Bill,3,3.67
430,Michael,13,3.77
431,Theresa,24,3.29
432,Max,1,4.0
433,Tim,1,3.0
434,Erin,1,5.0
435,Leah,4,3.5
436,Phil,33,4.03
437,Steve,1,5.0
438,Troy,1,5.0
439,Julie,4,4.25
440,Daphne,2,5.0
441,Carrie,8,4.0
442,Phil,1,3.0
443,David,1,1.0
444,Alexis,89,3.91
445,Kathleen,4,3.25
446,No Longer Yelping,148,3.46
447,Scott,6,3.67
448,Heidi,107,3.96
449,Annabelle,43,3.51
450,Alexander,3,4.0
451,Ian,8,3.88
452,Lefai,2,3.0
453,EattyPhoneHome,24,3.71
454,Cindy,7,3.29
455,Shradha,9,3.22
456,Amelia,1,4.0
457,Steve,2,5.0
458,Jon,1,2.0
459,Shali,1,4.0
460,Marc,40,3.4
461,Iris,4,4.0
462,Janie,4,3.5
463,Lor,2,3.5
464,Steph,12,3.67
465,Cobra,8,4.12
466,Evan,25,4.4
467,Chris,4,2.5
468,Oscar S.,11,4.27
469,Jennifer,26,4.0
470,Hailey,7,3.57
471,Joanna,1,4.0
472,Hieu,3,4.0
473,Michelle,16,4.06
474,Dave,26,3.92
475,Raina,3,3.33
476,Jimmy,10,3.9
477,Michael,3,4.67
478,Caroline,2,5.0
479,Kyle,2,4.0
480,Gerd,3,4.33
481,Deneen Marcel,1,5.0
482,Tom,382,3.51
483,Iza,5,3.4
484,Jocelyn,1,2.0
485,Peijean,4,4.0
486,Debra,6,4.67
487,Ritu,3,2.33
488,Victoria,1,5.0
489,Nino,19,3.53
490,Kim,1,5.0
491,Mark,1,5.0
492,Rodney,8,3.75
493,Kevin,12,3.58
494,Agata,2,3.5
495,Veronica,2,3.5
496,Keila,12,4.08
497,Brad,13,4.23
498,Brittany,1,1.0
499,Lucy,8,3.62
500,Mike,1,5.0
501,Jen,5,3.2
502,Nicole,9,3.44
503,Kendra,1,3.0
504,Nate,26,4.35
505,Allison,26,3.62
506,Kristin,2,3.5
507,Barbara,1,2.0
508,Susan,1,4.0
509,Chavah,3,3.33
510,Amy,2,5.0
511,Shay,1,1.0
512,S,2,3.0
513,Gloria,19,3.74
514,Kim,102,3.41
515,Zulma,26,4.38
516,David,4,3.25
517,Jenn,7,4.14
518,Dani,4,4.0
519,Margaret,3,5.0
520,Judy,3,3.0
521,Brian,7,4.14
522,Ed,5,2.6
523,Jasmine,3,2.0
524,Keith,138,3.13
525,Cristina,6,3.67
526,Deanna,19,3.37
527,Ki,3,4.0
528,Will,8,4.38
529,John,2,5.0
530,Grace,7,3.29
531,Amanda,5,3.8
532,Kim,9,4.11
533,Joe,2,4.5
534,Jeffrey,8,4.25
535,Julie,16,3.69
536,Bri,3,5.0
537,Carlos,56,4.05
538,Antoine,1,4.0
539,Robin,35,4.06
540,Mike,2,3.5
541,Krystle,1,5.0
542,Janene,506,3.59
543,Yaka,2,3.0
544,Brandon,2,1.5
545,Marie,3,4.33
546,Mary,1,4.0
547,Karen,13,3.08
548,Melissa,16,3.31
549,Heather,2,4.5
